"Qty";"Value";"Device";"Footprint Name";"Parts";"Detailed Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"SNAPEDA_LINK";
"3";"";"2,54/1,1";"2,54/1,1";"BAT-TEST+, BAT-TEST-R, D13";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X3CB";"1X03-CLEANBIG";"JP2, JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"SMD5";"SMD2,54-5,08";"BAT+, BAT-";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"C-USC0805";"C0805";"C3, C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.47R";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100k";"R-US_R0805";"R0805";"R14, R15, R27";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"10k";"R-US_R0805";"R0805";"R7, R8, R16, R21, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"C-USC0805";"C0805";"C9, C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"1k";"R-US_R0805";"R0805";"R9, R17, R18, R19, R20, R24, R25, R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"1uF";"C-USC0805";"C0805";"C1, C2, C7, C8, C10, C12, C13, C14, C15, C16, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22R";"R-US_R0805";"R0805";"R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22pF";"C-USC0805";"C0805";"C5, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7k";"R-US_R0805";"R0805";"R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"5.1k";"R-US_R0805";"R0805";"R2, R3, R12, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AP2127K-3.3TRG1";"AP2127K-3.3TRG1";"SOT95P282X145-5N";"IC2";"DiodesZetex AP2127K-3.3TRG1, LDO Regulator, 3.3 V, +/-2% 5-Pin, SOT-23";"";"";"";"";"DiodesZetex AP2127K-3.3TRG1, LDO Regulator, 3.3 V, +/-2% 5-Pin, SOT-23";"1.45mm";"Diodes Incorporated";"AP2127K-3.3TRG1";"";"621-AP2127K-3.3TRG1";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP2127K-3.3TRG1?qs=x6A8l6qLYDCeAxisWuFs5g%3D%3D";"";"";"";"";
"1";"ASPI-4020S-100M-T";"ASPI-4020S-100M-T";"IND_ASPI-4020S-100M-T";"L1";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/ASPI-4020S-100M-T/Abracon/view-part/?ref=eda";"                                                      Power Inductor, 10uh, 1.60a, 0.90a, Ferrite, ±20%, Shielded, 0.165 Ohm, 26mhz, 4.0x4.0x2.0, Smd                                              ";"";"";"";"Abracon";"";"";"ASPI-4020S-100M-T";"Nonstandard Abracon";"None";"https://www.snapeda.com/parts/ASPI-4020S-100M-T/Abracon/view-part/?ref=snap";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U$1";"http://www.ladyada.net/library/eagle";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"CG0603MLC-05LE";"CG0603MLC-05LE";"VARC1608X55N";"RV1, RV2, RV3";"Bourns MLC Series Metal Oxide Varistor 0.5pF, Clamping 25V 0603 (1608M) Case";"";"";"";"";"Bourns MLC Series Metal Oxide Varistor 0.5pF, Clamping 25V 0603 (1608M) Case";"0.55mm";"Bourns";"CG0603MLC-05LE";"";"652-CG0603MLC-05LE";"https://www.mouser.co.uk/ProductDetail/Bourns/CG0603MLC-05LE?qs=m8myXnDJXpVyWtNNhuqisQ%3D%3D";"";"";"";"";
"1";"DMC2038LVT-7";"DMC2038LVT-7";"SOP95P280X100-6N";"IC3";"Diodes Inc DMC2038LVT-7 Dual N/P-channel MOSFET, 2.1 A, 5.2 A, 20 V, 6-Pin TSOT-26";"";"";"";"";"Diodes Inc DMC2038LVT-7 Dual N/P-channel MOSFET, 2.1 A, 5.2 A, 20 V, 6-Pin TSOT-26";"1mm";"Diodes Incorporated";"DMC2038LVT-7";"";"621-DMC2038LVT-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMC2038LVT-7?qs=T%2FOtf55vL7dJxLDrml2x8w%3D%3D";"";"";"";"";
